Coğrafi İşaretin Adı;Ürün Grubu;İl
Avşa Ada Karası Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Edremit Körfezi Yeşil Çizik Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Susurluk Ayranı;Alkolsüz içecekler;Balıkesir
Balıkesir Kuzu Eti;İşlenmiş ve işlenmemiş et ürünleri;Balıkesir
Balıkesir Kaymaklısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Balıkesir
Balıkesir Höşmerim Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Balıkesir
Balıkesir Göbel Kuzu Kokoreci / Balıkesir Kuzu Kokoreci;Yemekler ve çorbalar;Balıkesir
Balıkesir Etli Çorba;Yemekler ve çorbalar;Balıkesir
Balıkesir Manda Kaymağı;Peynirler ve tereyağı dışında kalan süt ürünleri;Balıkesir
Kapıdağ Mor Soğanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Balıkesir Tombul Bamyası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Havran Mandalinası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Kepsut Bükdere Küflü Katık Peyniri;Peynirler;Balıkesir
Balıkesir Düğün Çorbası;Yemekler ve çorbalar;Balıkesir
Ayvalık Kelle Peyniri/Ayvalık Sepet Peyniri;Peynirler;Balıkesir
Ayvalık Lor Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Balıkesir
Edincik Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Çakıl Kestanesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Havran Siyah İnciri;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Bartın Ağda Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bartın
Bartın Pirinçli Mantısı;Yemekler ve çorbalar;Bartın
Bartın Beyaz Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bartın
Bartın Kabak Burma Tatlısı / Bartın Kabak Burması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bartın
Bartın Ramazan Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bartın
Bartın Gözlemesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bartın
Bartın Şapşap Köftesi;İşlenmiş ve işlenmemiş et ürünleri;Bartın
Bartın Yumurtalı Isput Yemeği;Yemekler ve çorbalar;Bartın
Bartın Çöven Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bartın
Bartın İncir Dondurma Tatlısı / Bartın İncir Donduması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bartın
Bartın Tatlı Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bartın
Batman Şam Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Batman
Sason Balı;Bal;Batman
Sason Çileği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Batman
Gercüş Mezrune Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Batman
Hasankeyf Mehina Sarımsağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Batman
Batman Piçik Yemeği;Yemekler ve çorbalar;Batman
Kozluk Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Batman
Bayburt Kara Pancar Yemeği;Yemekler ve çorbalar;Bayburt
Bayburt Tarhunu;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Bayburt
Bayburt Kavut Çorbası;Yemekler ve çorbalar;Bayburt
Bayburt Ketesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bayburt
Bayburt Lor Dolması;Yemekler ve çorbalar;Bayburt
Bayburt Balı;Bal;Bayburt
Aydıntepe Şeker Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bayburt
Bayburt Yalancı Dolma;Yemekler ve çorbalar;Bayburt
Bayburt Tatlı Çorba;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bayburt
Bayburt Ekşi Lahana;Yemekler ve çorbalar;Bayburt
Bayburt Süt Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bayburt
Osmaneli Ayva Lokumu;Çikolata, şekerleme ve türevi ürünler;Bilecik
Bilecik Pazaryeri Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bilecik
Osmaneli Karpuzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bilecik
Bozüyük Mercimekli Mantısı;Yemekler ve çorbalar;Bilecik
Bilecik Nohutlu Mantı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bilecik
Bilecik Fırın Kebabı (Bilecik Fırın Eti);Yemekler ve çorbalar;Bilecik
Bilecik Bıldırcın Kebabı;Yemekler ve çorbalar;Bilecik
Çukurören Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bilecik
Bingöl Çobantaşı Kavurması;Yemekler ve çorbalar;Bingöl
Bingöl Balı;Bal;Bingöl
Yedisu Horoz Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bingöl
Sivan Dut Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bingöl
Guldar Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bingöl
Bitlis Çorti Taplaması;Yemekler ve çorbalar;Bitlis
Bitlis Ciğer Taplaması;Yemekler ve çorbalar;Bitlis
Bitlis Avşor Çorbası;Yemekler ve çorbalar;Bitlis
Bitlis Balı;Bal;Bitlis
