Coğrafi İşaretin Adı;Ürün Grubu;İl
Ereğli Beyaz Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Çumra Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Ahırlı Köpük Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Yağ Somunu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Cihanbeyli Gömeç Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Akçabelen (Çetmi) Şeker Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Seydişehir Leblebisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Konya Şalgam Gallesi;Yemekler ve çorbalar;Konya
Konya Çullama;Yemekler ve çorbalar;Konya
Seydişehir Karpuzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Derbent Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Ereğli Uzun Kabağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Konya Zülbiyesi / Konya Sülbiyesi;Yemekler ve çorbalar;Konya
Konya Ovmaç Çorbası;Yemekler ve çorbalar;Konya
Konya Sac Arası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Menekşeli Pilav;Yemekler ve çorbalar;Konya
Konya Domalan Yemeği;Yemekler ve çorbalar;Konya
Konya Cimcik;Yemekler ve çorbalar;Konya
Konya Mıkla;Yemekler ve çorbalar;Konya
Hüyük Çileği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Konya Calla Yemeği;Yemekler ve çorbalar;Konya
Konya Bıçakarası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Derebucak Gembos Şeker Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Ilgın Haşhaşlı Kömbe;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Kadınhanı Kömbesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Sütlü Selemen;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Akşehir Peynir Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Kadınhanı Tahinli Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Bamya Çorbası;Yemekler ve çorbalar;Konya
Konya Balık Çokratması;Yemekler ve çorbalar;Konya
Konya İrmik Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Çöpleme;Yemekler ve çorbalar;Konya
Gediz Höşmerimi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya
Kütahya Bitli Helva;Çikolata, şekerleme ve türevi ürünler;Kütahya
Gediz Güveci;Yemekler ve çorbalar;Kütahya
Tavşanlı Güveci / Tavşanlı Göveci;Yemekler ve çorbalar;Kütahya
Emet Kebabı;Yemekler ve çorbalar;Kütahya
Emet Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya
Paşa Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya
Tavşanlı Leblebisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kütahya
Şaphane Vişnesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kütahya
Gediz Tarhanası;Yemekler ve çorbalar;Kütahya
Simav Kestanesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kütahya
Simav Eynal Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kütahya
Kütahya Tosunumu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya
Kütahya Pazarlar Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kütahya
Kütahya Kızılcık Tarhanası;Yemekler ve çorbalar;Kütahya
Kütahya Köpük Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya
Kütahya Dolamber Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya
Kütahya Cimcik Aşı/Kütahya Cimcik;Yemekler ve çorbalar;Kütahya
Kütahya Kaz Tiridi;Yemekler ve çorbalar;Kütahya
Emet Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya
Babaeski Sarımsağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kırklareli
Kırklareli Kıvırcık Kuzu Eti;İşlenmiş ve işlenmemiş et ürünleri;Kırklareli
Kırklareli Meşe Balı;Bal;Kırklareli
Brakana Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kırklareli
Kırklareli Beyaz Peyniri;Peynirler;Kırklareli
Kırklareli Eski Kaşar Peyniri;Peynirler;Kırklareli
Kırklareli Hardaliyesi;Alkolsüz içecekler;Kırklareli
Delice Doğal Kaynak Tuzu;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kırıkkale
Karaahmetli Tokmak Köfte;Yemekler ve çorbalar;Kırıkkale
Kırıkkale Kılıçlar Soğanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kırıkkale
Kırıkkale Keskin Tava;Yemekler ve çorbalar;Kırıkkale
Cemele Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kırşehir
Kaman Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kırşehir
Kırşehir Süla Kabağı Yemeği;Yemekler ve çorbalar;Kırşehir
Kırşehir Çullaması;Yemekler ve çorbalar;Kırşehir
Kırşehir Ayva Boranısı;Yemekler ve çorbalar;Kırşehir
Kırşehir Ahi Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kırşehir
Kaman Besmeç;Yemekler ve çorbalar;Kırşehir
Kırşehir Höşmerim Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kırşehir
Kırşehir Çirleme Yemeği;Yemekler ve çorbalar;Kırşehir
Malatya Tandır Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Yağlı Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Ekşili Ekmek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Akçadağ Pilavı;Yemekler ve çorbalar;Malatya
Malatya Yassı Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Kayısı Çekirdeği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya
Malatya Kurabiyesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Yufka Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Tevek Yaprağı Sarması;Yemekler ve çorbalar;Malatya
Malatya İçli Köftesi;Yemekler ve çorbalar;Malatya
Malatya Banazı Karası Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya
Malatya Ispanaklı Ekşili Köftesi;Yemekler ve çorbalar;Malatya
Malatya Simit Pilavı;Yemekler ve çorbalar;Malatya
Malatya Pöçüklü Lahana Sarması / Malatya Nahna Küftesi;Yemekler ve çorbalar;Malatya
Malatya Dalbastı Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya
Malatya Analı Kızlı Köfte / Malatya Tiritli Köfte;Yemekler ve çorbalar;Malatya
Arapgir Deli Kız Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Arapgir Peynirli Ekmek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Köpük Pestili;Çikolata, şekerleme ve türevi ürünler;Malatya
Malatya Erik Ekşisi;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Malatya
Arapgir Balıklı Pilav;Yemekler ve çorbalar;Malatya
Battalgazi Haşhaşlı Dut Pestili;Çikolata, şekerleme ve türevi ürünler;Malatya
Yeşilyurt Kiraz Yaprağı Sarma Köftesi / Yeşilyurt Kiraz Yaprağı Sarması;Yemekler ve çorbalar;Malatya
Malatya Hırçikli Köfte;Yemekler ve çorbalar;Malatya
Polat İçli Köftesi / Polat Köftesi;Yemekler ve çorbalar;Malatya
Pütürge Dutu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya
Arapgir Kakuk;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Malatya
Arapgir Dolaması;Yemekler ve çorbalar;Malatya
Arapgir Akıtma Bıciği;Yemekler ve çorbalar;Malatya
Akçadağ Armudu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya
Arapgir Köhnü Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya
Hekimhan Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya
Arapgir Mor Reyhanı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Malatya
Arapgir Pohmutu /Pohmut;Çikolata, şekerleme ve türevi ürünler;Malatya
Arapgir Tandır Kebabı;Yemekler ve çorbalar;Malatya
Arapgir Kızartması;Yemekler ve çorbalar;Malatya
Pütürge Dermanı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Malatya
Akçadağ Kömbesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Polat Kınalı Ekmek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Arapgir Pestil Kavurması / Arapgir Bastık Kavurması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Kayısısı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya
Malatya Ayranlı Soğuk Çorba;Yemekler ve çorbalar;Malatya
Malatya Peyniri;Peynirler;Malatya
Malatya Pidesi/ Malatya Açık Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Pirpirimli Acılı Ayran / Malatya Semizotlu Acılı Ayran;Alkolsüz içecekler;Malatya
Malatya Kağıt Kebabı;Yemekler ve çorbalar;Malatya
Malatya Bilik Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya
Malatya Tarhanası;Yemekler ve çorbalar;Malatya
Kırkağaç Pideli Paça / Kırkağaç Çakal Pideli Paça;Yemekler ve çorbalar;Manisa
Alaşehir Tahinli Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Manisa
Demirci Figani Efendi Eriği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Köprübaşı Çileği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Alaşehir Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Manisa
Alaşehir Asma Yaprağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Emcelli Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Salihli Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Salihli Odun Köfte;Yemekler ve çorbalar;Manisa
Manisa Asma Yaprağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Soma Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Manisa
Saruhanlı Çekirdeksiz Beyaz Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Kırkağaç Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Akhisar Köfte;Yemekler ve çorbalar;Manisa
Akhisar Domat Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Kula Leblebisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Alaşehir Kapaması / Alaşehir Kapatması;Yemekler ve çorbalar;Manisa
Demirci Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Demirci Hünnabı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Kırkağaç Topalak Yemeği;Yemekler ve çorbalar;Manisa
Manisa Taban Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Manisa
Manisa Sultani Çekirdeksiz Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Manisa Mesir Macunu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Manisa
Büyükbelen Tekir Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Akhisar Uslu Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa
Mardin İncasiyye;Yemekler ve çorbalar;Mardin
Mardin Sembusek;Yemekler ve çorbalar;Mardin
Midyat Zeynebi Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mardin
Midyat Acuru;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mardin
Midyat Tandır Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Mardin
Midyat Turşusu / Midyat Acur Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mardin
Mardin Kiliçesi / Mardin Kiliçe Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Mardin
Mardin Kebabı;Yemekler ve çorbalar;Mardin
Mardin Kaburga Dolması;Yemekler ve çorbalar;Mardin
Mardin Irok;Yemekler ve çorbalar;Mardin
Mardin Alluciye;Yemekler ve çorbalar;Mardin
Mardin Firkiye;Yemekler ve çorbalar;Mardin
Mardin Kibe;Yemekler ve çorbalar;Mardin
Mardin İmlebbes;Çikolata, şekerleme ve türevi ürünler;Mardin
Ömerli Karfoki Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mardin
Midyat İnciri;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mardin
Midyat Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mardin
Kızıltepe Kırmızı Mercimeği;Diğer ürünler;Mardin
Mardin Bulguru;Diğer ürünler;Mardin
Mardin Harire;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Mardin
Mardin İkbebet;Yemekler ve çorbalar;Mardin
Silifke Çileği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Tarsus Kebabı;Yemekler ve çorbalar;Mersin
Gezende Eriği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Tarsus Yayla Bandırması;Çikolata, şekerleme ve türevi ürünler;Mersin
Anamur Batırığı;Yemekler ve çorbalar;Mersin
Tarsus Şalgamı;Alkolsüz içecekler;Mersin
Silifke Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Mersin
Gülnar Kuş Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Tarsus Sarıulak Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Tarsus Beyazı Üzüm (Topacık);İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Mut Kayısısı (Yaş Sofralık);İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Tarsus Humusu;Yemekler ve çorbalar;Mersin
Tarsus Biberiyesi;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Mersin
Erdemli Muzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Erdemli Lamas Limonu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Anamur Muzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Mersin Tantunisi;Yemekler ve çorbalar;Mersin
Mersin Kerebici;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Mersin
Mersin Kan Portakalı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin
Mersin Cezeryesi;Çikolata, şekerleme ve türevi ürünler;Mersin
Bozyazı Kavutu;Çikolata, şekerleme ve türevi ürünler;Mersin
Tarsus Fındık Lahmacunu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Mersin
Fethiye Tahini;Diğer ürünler;Muğla
Bodrum Çökertme Kebabı;Yemekler ve çorbalar;Muğla
Fethiye Kaya İnciri;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Muğla Göce Tarhanası;Yemekler ve çorbalar;Muğla
Bodrum Mandarini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Kavaklıdere Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Datça Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Köyceğiz Portakalı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Milas Ciğer Kavurması;İşlenmiş ve işlenmemiş et ürünleri;Muğla
Marmaris Yer Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Milas Yağlı Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Muğla Saraylısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Muğla
Muğla Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Muğla
Milas Çıntar Kavurması;Yemekler ve çorbalar;Muğla
Muğla Sulu Kebabı;Yemekler ve çorbalar;Muğla
Muğla Çam Balı;Bal;Muğla
Milas Çaykaması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Muğla
Milas Vekilharcı;Yemekler ve çorbalar;Muğla
Milas Tepsi Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Muğla
Milas Köftesi;İşlenmiş ve işlenmemiş et ürünleri;Muğla
Milas Kanlı Kavurması;Yemekler ve çorbalar;Muğla
Milas Ekşili Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Milas Ekşili Köfte;Yemekler ve çorbalar;Muğla
Muğla Köftesi;Yemekler ve çorbalar;Muğla
Fethiye Tarhanası;Yemekler ve çorbalar;Muğla
Marmaris Çam Balı;Bal;Muğla
Datça Nurlu Bademi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Ula Sarımsağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Milas Çekişke Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla
Muş Köftesi;Yemekler ve çorbalar;Muş
Muş Eski Kaşarı;Peynirler;Muş
Muş Çorti Aşı (Yemeği);Yemekler ve çorbalar;Muş
Muş Çorti Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muş
Nevşehir Kabak Çekirdeği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Nevşehir
Kaymaklı Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Nevşehir
Kaymaklı Kuru Kaymağı;Peynirler ve tereyağı dışında kalan süt ürünleri;Nevşehir
Nevşehir Testi Kebabı;Yemekler ve çorbalar;Nevşehir
Nevşehir Tahinli Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Nevşehir
Derinkuyu Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Nevşehir
Nevşehir Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Nevşehir
Nevşehir Parmak Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Nevşehir
Niğde Tahinlisi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Niğde
Niğde Tavası;Yemekler ve çorbalar;Niğde
Darboğaz Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Niğde
Niğde Sarım Burma Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Niğde
Niğde Kelle Söğüş;Yemekler ve çorbalar;Niğde
Bor Söğürmesi;Yemekler ve çorbalar;Niğde
Ordu Sakarca Mıhlaması;Yemekler ve çorbalar;Ordu
Mesudiye Kuru Ekmeği / Mesudiye Goliti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ordu
Gürgentepe Çakıldak Fındığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ordu
Gürgentepe Çoban Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ordu
Kabataş Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ordu
Ordu Taflan Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ordu
Ordu Zeytinyağlı Karalahana Sarması / Ordu Zeytinyağlı Pancar Sarması;Yemekler ve çorbalar;Ordu
Ordu Melocan Kavurması;Yemekler ve çorbalar;Ordu
Ordu Yayla Pancarı Turşusu / Ordu Dürme Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ordu
Ordu Fındıklı Burma Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ordu
Ordu Pancar Çorbası / Ordu Karalahana Çorbası;Yemekler ve çorbalar;Ordu
Ordu Fırın Fasulyesi Kavurması;Yemekler ve çorbalar;Ordu
Ordu Galdirik Kavurması;Yemekler ve çorbalar;Ordu
Ünye İzabella Üzüm Suyu;Alkolsüz içecekler;Ordu
Ordu Perşembe Ceviz Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ordu
Ordu Kivisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ordu
Ordu İçli Tava;Yemekler ve çorbalar;Ordu
Ordu Fındık Tirmidi Kavurması;Yemekler ve çorbalar;Ordu
Yalıköy Köftesi;Yemekler ve çorbalar;Ordu
Akkuş Şeker Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ordu
Ordu Pidesi / Ordu Yağlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ordu
Ordu Tostu;Yemekler ve çorbalar;Ordu
Osmaniye Yoğurtlu Kömbesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Osmaniye
Kadirli Turpu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Osmaniye
Osmaniye Zorkun Tava;Yemekler ve çorbalar;Osmaniye
Osmaniye Bayram Kömbesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Osmaniye
Osmaniye Yer Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Osmaniye
Rize Çayı;Diğer ürünler;Rize
Çayeli Koloti Peyniri;Peynirler;Rize
Anzer Balı;Bal;Rize
Rize Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Rize
Ayder Balı;Bal;Rize
Derepazarı Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Rize
Rize Baston Ekmek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Rize
Çayeli Kuru Fasulye Yemeği;Yemekler ve çorbalar;Rize
Rize Enişte Lokumu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Rize
Rize Muhlaması;Yemekler ve çorbalar;Rize
Rize Kokulu Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Rize
Rize Kavurması;İşlenmiş ve işlenmemiş et ürünleri;Rize
Rize Pepeçurası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Rize
Rize Etli Kara Lahana Sarması;Yemekler ve çorbalar;Rize
Karapürçek Cennet Hurması Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya
Geyve Ayvası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya
Sakarya Abaza Acıkası;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Sakarya
Kocaali Hurma Kurusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya
Adapazarı Dartılı Keşkek;Yemekler ve çorbalar;Sakarya
Adapazarı Beyaz Kestane Kabağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya
Sapanca Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya
Adapazarı Kabak Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sakarya
Taraklı Uğut Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sakarya
Taraklı Enginarı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya
Pamukova Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya
Pamukova Ceviz Ezmesi;Çikolata, şekerleme ve türevi ürünler;Sakarya
Sakarya Kazımpaşa Köftesi;Yemekler ve çorbalar;Sakarya
Adapazarı Islama Köftesi;Yemekler ve çorbalar;Sakarya
Sakarya Üre Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sakarya
Kocaali Çamdağı Kestane Balı;Bal;Sakarya
Sakarya Abhaz (Abaza) Peyniri;Peynirler;Sakarya
Çarşamba Kıvratması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun
Bafra Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun
Bafra Nokulu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun
Terme Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun
Bafra Kaymaklı Lokum;Çikolata, şekerleme ve türevi ürünler;Samsun
Çarşamba Keşkeği;Yemekler ve çorbalar;Samsun
Samsun Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun
Samsun Kaz Tiridi;Yemekler ve çorbalar;Samsun
Salıpazarı Kestane Balı;Bal;Samsun
Yakakent Mantısı;Yemekler ve çorbalar;Samsun
Çarşamba Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun
Çakallı Menemeni;Yemekler ve çorbalar;Samsun
Siirt Büryan Kebabı;Yemekler ve çorbalar;Siirt
Siirt Gebole Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Siirt
Pervari Balı;Bal;Siirt
Siirt Kuru Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Siirt
Siirt Perde Pilavı;Yemekler ve çorbalar;Siirt
Siirt İçli Köftesi / Siirt Kiteli;Yemekler ve çorbalar;Siirt
Tillo Heriresi;Çikolata, şekerleme ve türevi ürünler;Siirt
Siirt Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Siirt
Sinop Nokulu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sinop
Sinop Mantısı;Yemekler ve çorbalar;Sinop
Sinop Lakerdası;İşlenmiş ve işlenmemiş et ürünleri;Sinop
Sinop Kestane Balı;Bal;Sinop
