province,food_name,product_group_tr,product_group_en,kcal_100g
Elazığ,Elazığ Taş Ekmeği Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",292
Çankırı,Eldivan Yağlı Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",312
Ankara,Elmadağ Tandır Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",298
Kütahya,Emet Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",253
Kütahya,Emet Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",345
Afyonkarahisar,Emirdağ Yumurtalı Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",330
Tokat,Erbaa Katmeri,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",331
Karaman,Ermenek Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",263
Erzincan,Erzincan Kesme Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",356
Erzurum,Erzurum Pekmezli Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",344
Erzurum,Erzurum Babaanne Pastası / Erzurum Pastası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",373
Erzurum,Erzurum Demir Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",387
Erzurum,Erzurum Dut Çullaması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",260
Erzurum,Erzurum Eriştesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",277
Erzurum,Erzurum Hasıta / Erzurum Hasuta,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",304
Erzurum,Erzurum Hurma Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",280
Erzurum,Erzurum Kadayıf Dolması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",238
Erzurum,Erzurum Kavut Haşılı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",302
Erzurum,Erzurum Kaz Lokması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",257
Erzurum,Erzurum Ketesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",319
Erzurum,Erzurum Kuru Kayısı Kaysefesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",263
Erzurum,Erzurum Lavaş Ekmeği / Erzurum Ecem Ekmeği / Erzurum Acem Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",362
Erzurum,Erzurum Pekmezli Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",268
Erzurum,Erzurum Peynir Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",287
Erzurum,Erzurum Su Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",132
Erzurum,Erzurum Tel Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",250
Erzurum,Erzurum Tuzlu Lokumu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",309
Erzurum,Erzurum Un Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",352
Eskişehir,Eskişehir Met Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",235
Eskişehir,Eskişehir Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",307
Gaziantep,Gaziantep Bülbül Yuvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",310
Gaziantep,Gaziantep Dolangel Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",331
Gaziantep,Gaziantep Kuymağı/Antep Kuymağı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",250
Gaziantep,Gaziantep Pirinçli Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",147
Gaziantep,Gaziantep Sebzeli Peynirli Böreği /Antep Sebzeli Peynirli Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",221
Gaziantep,Gaziantep Sütlü Zerdesi/Gaziantep Astarlı Sütlacı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",312
Gaziantep,Gaziantep Yeşil Zeytin Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",310
Gaziantep,Gaziantep Şekerli Peynirli Böreği/ Antep Şekerli Peynirli Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",214
Gaziantep,Gaziantep Şirin Tarhanası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",272
Gaziantep,Gaziantep Şöbiyeti / Antep Şöbiyeti,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",309
Kocaeli,Gebze Bayram Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",311
Kütahya,Gediz Höşmerimi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",271
Çanakkale,Gelibolu Peynir Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",374
Aksaray,Gelveri Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",319
Bolu,Gerede Şakşak Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",252
Giresun,Giresun Fındık Ezmeli Kadayıf Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",326
Bolu,Göynük Dik Börek/Göynük Oklava Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",261
Bolu,Göynük Kabaklı Yufka Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",331
Gümüşhane,Gümüşhane Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",346
Gümüşhane,Gümüşhane Sironu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",267
Hakkari,Hakkari Kadesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",338
Hakkari,Hakkari Lalaped Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",316
Trabzon,Hamsiköy Sütlacı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",333
Erzurum,Hasankale Lavaşı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",376
Hatay,Hatay Ispanaklı Börek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",290
Hatay,Hatay Kabak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",270
