food_name,province,tp_group,kcal_group,kcal_100g,n_samples,std_kcal
Kadınhanı Tahinli Pidesi,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Bamya Çorbası,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Balık Çokratması,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya İrmik Helvası,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Çöpleme,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Gediz Höşmerimi,Kütahya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kütahya Bitli Helva,Kütahya,"Çikolata, şekerleme ve türevi ürünler",çikolata/şeker,395.75,8,95.46839417165393
Gediz Güveci,Kütahya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Tavşanlı Güveci / Tavşanlı Göveci,Kütahya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Emet Kebabı,Kütahya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Emet Ekmeği,Kütahya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Paşa Helvası,Kütahya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Tavşanlı Leblebisi,Kütahya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Şaphane Vişnesi,Kütahya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Gediz Tarhanası,Kütahya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Simav Kestanesi,Kütahya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Simav Eynal Domatesi,Kütahya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kütahya Tosunumu,Kütahya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kütahya Pazarlar Kirazı,Kütahya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kütahya Kızılcık Tarhanası,Kütahya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kütahya Köpük Helvası,Kütahya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kütahya Dolamber Böreği,Kütahya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kütahya Cimcik Aşı/Kütahya Cimcik,Kütahya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kütahya Kaz Tiridi,Kütahya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Emet Pidesi,Kütahya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Babaeski Sarımsağı,Kırklareli,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kırklareli Kıvırcık Kuzu Eti,Kırklareli,İşlenmiş ve işlenmemiş et ürünleri,işlenmiş et,251.875,8,127.37283574496678
Kırklareli Meşe Balı,Kırklareli,Bal,bal,326.0,2,1.4142135623730951
Brakana Tatlısı,Kırklareli,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kırklareli Beyaz Peyniri,Kırklareli,Peynirler,peynir,341.85714285714283,7,44.149098033174546
Kırklareli Eski Kaşar Peyniri,Kırklareli,Peynirler,peynir,341.85714285714283,7,44.149098033174546
Kırklareli Hardaliyesi,Kırklareli,Alkolsüz içecekler,soft içecekler,72.57142857142857,7,92.75569549962442
Delice Doğal Kaynak Tuzu,Kırıkkale,"Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz",yiyecekler için çeşni,211.66666666666666,9,142.38328553590833
Karaahmetli Tokmak Köfte,Kırıkkale,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kırıkkale Kılıçlar Soğanı,Kırıkkale,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kırıkkale Keskin Tava,Kırıkkale,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Cemele Biberi,Kırşehir,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kaman Cevizi,Kırşehir,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kırşehir Süla Kabağı Yemeği,Kırşehir,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kırşehir Çullaması,Kırşehir,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kırşehir Ayva Boranısı,Kırşehir,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kırşehir Ahi Helvası,Kırşehir,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kaman Besmeç,Kırşehir,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kırşehir Höşmerim Tatlısı,Kırşehir,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kırşehir Çirleme Yemeği,Kırşehir,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Malatya Tandır Ekmeği,Malatya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Malatya Yağlı Ekmeği,Malatya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Malatya Ekşili Ekmek,Malatya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Akçadağ Pilavı,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Malatya Yassı Kadayıfı,Malatya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Malatya Kayısı Çekirdeği,Malatya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Malatya Kurabiyesi,Malatya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Malatya Yufka Ekmeği,Malatya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Malatya Tevek Yaprağı Sarması,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Malatya İçli Köftesi,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Malatya Banazı Karası Üzümü,Malatya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Malatya Ispanaklı Ekşili Köftesi,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Malatya Simit Pilavı,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Malatya Pöçüklü Lahana Sarması / Malatya Nahna Küftesi,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Malatya Dalbastı Kirazı,Malatya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Malatya Analı Kızlı Köfte / Malatya Tiritli Köfte,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Arapgir Deli Kız Baklavası,Malatya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Arapgir Peynirli Ekmek,Malatya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Malatya Köpük Pestili,Malatya,"Çikolata, şekerleme ve türevi ürünler",çikolata/şeker,395.75,8,95.46839417165393
Malatya Erik Ekşisi,Malatya,"Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz",yiyecekler için çeşni,211.66666666666666,9,142.38328553590833
Arapgir Balıklı Pilav,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Battalgazi Haşhaşlı Dut Pestili,Malatya,"Çikolata, şekerleme ve türevi ürünler",çikolata/şeker,395.75,8,95.46839417165393
Yeşilyurt Kiraz Yaprağı Sarma Köftesi / Yeşilyurt Kiraz Yaprağı Sarması,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Malatya Hırçikli Köfte,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Polat İçli Köftesi / Polat Köftesi,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Pütürge Dutu,Malatya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Arapgir Kakuk,Malatya,"Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz",yiyecekler için çeşni,211.66666666666666,9,142.38328553590833
Arapgir Dolaması,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Arapgir Akıtma Bıciği,Malatya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Akçadağ Armudu,Malatya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Arapgir Köhnü Üzümü,Malatya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
