Coğrafi İşaretin Adı,Ürün Grubu,İl,Kalori
Adana Kebabı,Yemekler ve çorbalar,Adana,229
Adana İçli Köfte,Yemekler ve çorbalar,Adana,264
Adana Şırdan,Yemekler ve çorbalar,Adana,304
Adapazarı Dartılı Keşkek,Yemekler ve çorbalar,Sakarya,224
Adapazarı Islama Köftesi,Yemekler ve çorbalar,Sakarya,224
Adıyaman Etsiz Çiğ Köfte,Yemekler ve çorbalar,Adıyaman,306
Afyon Dana Tandır / Afyonkarahisar Dana Tandır,Yemekler ve çorbalar,Afyonkarahisar,270
Afyon Kebabı,Yemekler ve çorbalar,Afyonkarahisar,214
Afyon Patlıcan Böreği,Yemekler ve çorbalar,Afyonkarahisar,259
Afyon Sakala Çarpan Çorbası / Afyonkarahisar Sakala Çarpan Çorbası,Yemekler ve çorbalar,Afyonkarahisar,214
Afyon Tandır Çorbası / Afyonkarahisar Tandır Çorbası,Yemekler ve çorbalar,Afyonkarahisar,214
Afyon Velense Hamur Aşı / Afyonkarahisar Velense Hamur Aşı,Yemekler ve çorbalar,Afyonkarahisar,246
Afyon İlibada Sarması/Afyon İlibada Dolması/Afyonkarahisar İlibada Sarması/Afyonkarahisar İlibada Dolması,Yemekler ve çorbalar,Afyonkarahisar,149
Afyonkarahisar Göce Köftesi / Afyon Göce Köftesi,Yemekler ve çorbalar,Afyonkarahisar,157
Afyonkarahisar Mercimekli Pilav / Afyon Mercimekli Pilav,Yemekler ve çorbalar,Afyonkarahisar,210
Afyonkarahisar Çullama Köfte,Yemekler ve çorbalar,Afyonkarahisar,189
Afşin Tava,Yemekler ve çorbalar,Kahramanmaraş,249
Akhisar Köfte,Yemekler ve çorbalar,Manisa,194
Aksaray Tulum Kebabı,Yemekler ve çorbalar,Aksaray,171
Akyurt Fıtı Çorbası,Yemekler ve çorbalar,Ankara,301
Akyurt Homaçası,Yemekler ve çorbalar,Ankara,225
Akyurt Soğuk Çorbası,Yemekler ve çorbalar,Ankara,238
Akyurt Toyga Aşı / Akyurt Toyga Çorbası,Yemekler ve çorbalar,Ankara,171
Akyurt Tutmaç Aşı /Çorbası,Yemekler ve çorbalar,Ankara,211
Akçaabat Köftesi,Yemekler ve çorbalar,Trabzon,240
Akçadağ Pilavı,Yemekler ve çorbalar,Malatya,183
Akçakoca Ekşilisi,Yemekler ve çorbalar,Düzce,252
Akşehir Hersesi,Yemekler ve çorbalar,Konya,208
Akşehir Tandır Kebabı,Yemekler ve çorbalar,Konya,222
Alaca Borana Yemeği,Yemekler ve çorbalar,Çorum,208
Alaca Hingali,Yemekler ve çorbalar,Çorum,318
Alaca Yarma Aşı,Yemekler ve çorbalar,Çorum,234
Alaca Çılbır Yemeği,Yemekler ve çorbalar,Çorum,187
Alanya Gülüklü (Hülüklü) Çorba,Yemekler ve çorbalar,Antalya,272
Alaşehir Kapaması / Alaşehir Kapatması,Yemekler ve çorbalar,Manisa,180
Alucra Oğlak Kebabı,Yemekler ve çorbalar,Giresun,244
Amasya Ayva Gallesi,Yemekler ve çorbalar,Amasya,147
Amasya Baklalı Dolması,Yemekler ve çorbalar,Amasya,175
Amasya Etli Çiçek Bamyası Yemeği,Yemekler ve çorbalar,Amasya,244
Amasya Keşkeği,Yemekler ve çorbalar,Amasya,268
Amasya Patlıcan Pehli,Yemekler ve çorbalar,Amasya,243
Amasya Sıkma Tarhanası,Yemekler ve çorbalar,Amasya,230
Amasya Toyga Çorbası,Yemekler ve çorbalar,Amasya,221
Amasya Çatal Çorbası,Yemekler ve çorbalar,Amasya,168
Anamur Batırığı,Yemekler ve çorbalar,Mersin,203
Andırın Tirşiği,Yemekler ve çorbalar,Kahramanmaraş,214
Ankara Döneri,Yemekler ve çorbalar,Ankara,283
Ankara Tava,Yemekler ve çorbalar,Ankara,250
Antakya Kağıt Kebabı,Yemekler ve çorbalar,Hatay,156
Antakya Külçesi,Yemekler ve çorbalar,Hatay,250
Antakya Zılk Sarması,Yemekler ve çorbalar,Hatay,218
Antalya Paça Çorbası,Yemekler ve çorbalar,Antalya,205
Antalya Piyazı,Yemekler ve çorbalar,Antalya,263
Antalya Topak Kızartması,Yemekler ve çorbalar,Antalya,281
Antep Allı Yeşilli Dolma /Antep Nakışlı Dolma /Antep Yaz Dolması,Yemekler ve çorbalar,Gaziantep,277
Antep Beyranı,Yemekler ve çorbalar,Gaziantep,197
Antep Yuvarlaması / Antep Yuvalaması,Yemekler ve çorbalar,Gaziantep,221
Antep Şiveydizi,Yemekler ve çorbalar,Gaziantep,250
Arapgir Akıtma Bıciği,Yemekler ve çorbalar,Malatya,279
Arapgir Balıklı Pilav,Yemekler ve çorbalar,Malatya,213
Arapgir Dolaması,Yemekler ve çorbalar,Malatya,227
Arapgir Kızartması,Yemekler ve çorbalar,Malatya,185
Arapgir Tandır Kebabı,Yemekler ve çorbalar,Malatya,181
Araç Akdene Göce Çorbası,Yemekler ve çorbalar,Kastamonu,272
Aydın Yuvarlaması,Yemekler ve çorbalar,Aydın,296
Ayvalık Karadiken,Yemekler ve çorbalar,Balıkesir,232
Ayvalık Tostu,Yemekler ve çorbalar,,280
Ağrı Haşıl Yemeği,Yemekler ve çorbalar,Ağrı,251
Ağrı Yaprak Döneri,Yemekler ve çorbalar,Ağrı,206
Balıkesir Düğün Çorbası,Yemekler ve çorbalar,Balıkesir,251
Balıkesir Etli Çorba,Yemekler ve çorbalar,Balıkesir,304
Balıkesir Göbel Kuzu Kokoreci / Balıkesir Kuzu Kokoreci,Yemekler ve çorbalar,Balıkesir,233
Bartın Pirinçli Mantısı,Yemekler ve çorbalar,Bartın,305
Bartın Yumurtalı Isput Yemeği,Yemekler ve çorbalar,Bartın,140
Batman Piçik Yemeği,Yemekler ve çorbalar,Batman,272
Bayburt Ekşi Lahana,Yemekler ve çorbalar,Bayburt,239
Bayburt Kara Pancar Yemeği,Yemekler ve çorbalar,Bayburt,222
Bayburt Kavut Çorbası,Yemekler ve çorbalar,Bayburt,239
Bayburt Lor Dolması,Yemekler ve çorbalar,Bayburt,146
Bayburt Yalancı Dolma,Yemekler ve çorbalar,Bayburt,225
Belen Tava,Yemekler ve çorbalar,Hatay,251
Bergama Çığırtması,Yemekler ve çorbalar,İzmir,302
Beypazarı Dolması / Beypazarı Yaprak Sarması,Yemekler ve çorbalar,Ankara,212
Bilecik Bıldırcın Kebabı,Yemekler ve çorbalar,Bilecik,199
Bilecik Fırın Kebabı (Bilecik Fırın Eti),Yemekler ve çorbalar,Bilecik,212
Bingöl Çobantaşı Kavurması,Yemekler ve çorbalar,Bingöl,276
Bitlis Avşor Çorbası,Yemekler ve çorbalar,Bitlis,250
Bitlis Büryan Kebabı,Yemekler ve çorbalar,Bitlis,211
Bitlis Ciğer Taplaması,Yemekler ve çorbalar,Bitlis,258
Bitlis Katıklı Dolma,Yemekler ve çorbalar,Bitlis,239
Bitlis Çorti Taplaması,Yemekler ve çorbalar,Bitlis,279
Bitlis İçli Köftesi,Yemekler ve çorbalar,Bitlis,203
Bodrum Çökertme Kebabı,Yemekler ve çorbalar,Muğla,220
Bolu Kızılcık Tarhanası,Yemekler ve çorbalar,Bolu,217
Bolvadin Fırın Eti,Yemekler ve çorbalar,Afyonkarahisar,169
Bolvadin Mantısı,Yemekler ve çorbalar,Afyonkarahisar,248
Bor Söğürmesi,Yemekler ve çorbalar,Niğde,247
Boyabat Sırık Kebabı,Yemekler ve çorbalar,Sinop,235
Bozüyük Mercimekli Mantısı,Yemekler ve çorbalar,Bilecik,224
Burdur Şiş Köftesi,Yemekler ve çorbalar,Burdur,171
Bursa Döner Kebabı,Yemekler ve çorbalar,Bursa,216
Bursa Pideli Köfte,Yemekler ve çorbalar,Bursa,220
Cide Tarhanası,Yemekler ve çorbalar,Kastamonu,199
Cizre Meyre / Cizre Mehir,Yemekler ve çorbalar,Şırnak,228
Dalama Tandırı,Yemekler ve çorbalar,Aydın,253
Dedebağ Keşkeği / Karacasu Keşkeği,Yemekler ve çorbalar,Aydın,320
Denizli Tandır Kebabı,Yemekler ve çorbalar,,243
Develi Cıvıklısı,Yemekler ve çorbalar,Kayseri,247
Devrekani Hindi Banduması,Yemekler ve çorbalar,Kastamonu,232
Dinar Taptama Köfte / Dinar Taplama Köfte,Yemekler ve çorbalar,Afyonkarahisar,149
Divriği Pilavı /Alatlı Pilavı,Yemekler ve çorbalar,Sivas,234
Diyarbakır Ayva Dizmesi,Yemekler ve çorbalar,Diyarbakır,238
Diyarbakır Ayvalı Kavurma,Yemekler ve çorbalar,Diyarbakır,346
Diyarbakır Ayvalı Köfte,Yemekler ve çorbalar,Diyarbakır,226
Diyarbakır Babaganuç,Yemekler ve çorbalar,Diyarbakır,249
Diyarbakır Bakla Meftunesi,Yemekler ve çorbalar,Diyarbakır,233
Diyarbakır Ciğer Kebabı,Yemekler ve çorbalar,Diyarbakır,182
Diyarbakır Dalak Dolması,Yemekler ve çorbalar,Diyarbakır,286
Diyarbakır Duvaklı Pilavı,Yemekler ve çorbalar,Diyarbakır,269
Diyarbakır Ekşili Balık (Sumaklı Çay Balığı),Yemekler ve çorbalar,Diyarbakır,271
Diyarbakır Ekşili Dolması,Yemekler ve çorbalar,Diyarbakır,194
Diyarbakır Erikli Yaz Türlüsü,Yemekler ve çorbalar,Diyarbakır,298
Diyarbakır Et Eşkenesi Yemeği,Yemekler ve çorbalar,Diyarbakır,172
Diyarbakır Gebol Yemeği,Yemekler ve çorbalar,Diyarbakır,261
Diyarbakır Gendüme Aşı,Yemekler ve çorbalar,Diyarbakır,334
Diyarbakır Habenisk Çorbası,Yemekler ve çorbalar,Diyarbakır,190
Diyarbakır Hedik Yemeği,Yemekler ve çorbalar,Diyarbakır,210
Diyarbakır Hıllorik Aşı,Yemekler ve çorbalar,Diyarbakır,239
Diyarbakır Hırçikli Meftunesi,Yemekler ve çorbalar,Diyarbakır,212
Diyarbakır Kabak Meftunesi,Yemekler ve çorbalar,Diyarbakır,165
Diyarbakır Kaburga Dolması,Yemekler ve çorbalar,Diyarbakır,238
Diyarbakır Kemikli Kebabı,Yemekler ve çorbalar,Diyarbakır,187
Diyarbakır Kenger Boranisi,Yemekler ve çorbalar,Diyarbakır,256
Diyarbakır Kenger Meftunesi,Yemekler ve çorbalar,Diyarbakır,194
Diyarbakır Kengerli Bulgur Pilavı,Yemekler ve çorbalar,Diyarbakır,305
Diyarbakır Kibe Mumbar,Yemekler ve çorbalar,Diyarbakır,200
Diyarbakır Kulak Çorbası,Yemekler ve çorbalar,Diyarbakır,221
Diyarbakır Kuru Dolması,Yemekler ve çorbalar,Diyarbakır,272
Diyarbakır Kürt Mustafa Çorbası,Yemekler ve çorbalar,Diyarbakır,180
Diyarbakır Lebenisi,Yemekler ve çorbalar,Diyarbakır,245
Diyarbakır Lepik Köftesi,Yemekler ve çorbalar,Diyarbakır,294
Diyarbakır Mastava Aşı Yemeği,Yemekler ve çorbalar,Diyarbakır,163
Diyarbakır Meyir Çorbası,Yemekler ve çorbalar,Diyarbakır,243
Diyarbakır Nardan Aşı,Yemekler ve çorbalar,Diyarbakır,247
Diyarbakır Patlıcan Meftunesi,Yemekler ve çorbalar,Diyarbakır,270
Diyarbakır Patlıcanlı Kazan Kebabı,Yemekler ve çorbalar,Diyarbakır,179
Diyarbakır Pencegoşt Pilavı,Yemekler ve çorbalar,Diyarbakır,176
Diyarbakır Perdeli Ciğer Kebabı,Yemekler ve çorbalar,Diyarbakır,258
Diyarbakır Simindirik Çorbası,Yemekler ve çorbalar,Diyarbakır,248
Diyarbakır Tavuk Eşkenesi,Yemekler ve çorbalar,Diyarbakır,246
Diyarbakır Tirit Yemeği,Yemekler ve çorbalar,Diyarbakır,251
Diyarbakır Üsküre Kebabı / Diyarbakır Tas Kebabı,Yemekler ve çorbalar,Diyarbakır,204
Diyarbakır İçli Köftesi,Yemekler ve çorbalar,Diyarbakır,245
Doğubayazıt Abdigör Köftesi,Yemekler ve çorbalar,Ağrı,248
Düzce Köftesi,Yemekler ve çorbalar,Düzce,203
Edirne Ciğer Sarma,Yemekler ve çorbalar,Edirne,319
Edirne Tava Ciğeri,Yemekler ve çorbalar,Edirne,256
Eflani Hindi Bandırması,Yemekler ve çorbalar,Karabük,181
Elazığ Sırın Yemeği,Yemekler ve çorbalar,Elazığ,265
Emet Kebabı,Yemekler ve çorbalar,Kütahya,191
Emirdağ Dolgulu Köftesi,Yemekler ve çorbalar,Afyonkarahisar,270
Emirdağ Güveci,Yemekler ve çorbalar,Afyonkarahisar,287
Ereğli Kuru Kayısı Yahnisi,Yemekler ve çorbalar,Konya,198
Ermenek Batırması,Yemekler ve çorbalar,Karaman,278
Erzurum Ayran Aşı Çorbası,Yemekler ve çorbalar,Erzurum,254
Erzurum Ayva Yahnisi / Erzurum Ayva Kalyesi,Yemekler ve çorbalar,Erzurum,272
Erzurum Aşmalı Yahni,Yemekler ve çorbalar,Erzurum,320
Erzurum Cılbıra / Erzurum Çılbır,Yemekler ve çorbalar,Erzurum,224
Erzurum Ekşili Dolma,Yemekler ve çorbalar,Erzurum,201
Erzurum Gliko,Yemekler ve çorbalar,Erzurum,195
Erzurum Herle Aşı Çorbası,Yemekler ve çorbalar,Erzurum,198
Erzurum Hink Yemeği,Yemekler ve çorbalar,Erzurum,232
Erzurum Kara Fatma Çorbası,Yemekler ve çorbalar,Erzurum,250
Erzurum Kesme Aşı Çorbası,Yemekler ve çorbalar,Erzurum,247
Erzurum Mantısı /Erzurum Hıngeli,Yemekler ve çorbalar,Erzurum,272
Erzurum Patates Boranisi,Yemekler ve çorbalar,Erzurum,236
Erzurum Tatar Böreği,Yemekler ve çorbalar,Erzurum,300
Erzurum Yumurta Pilavı,Yemekler ve çorbalar,Erzurum,223
Erzurum Çaşır Kavurması,Yemekler ve çorbalar,Erzurum,357
Erzurum Çeç Pancarı,Yemekler ve çorbalar,Erzurum,263
Erzurum Çiriş Yemeği,Yemekler ve çorbalar,Erzurum,196
Erzurum Çortutu Pancarı,Yemekler ve çorbalar,Erzurum,187
Erzurum Şalgam Dolması,Yemekler ve çorbalar,Erzurum,257
Eskişehir Çiğböreği (Çibörek),Yemekler ve çorbalar,Eskişehir,225
Ezo Gelin Çorbası,Yemekler ve çorbalar,,267
Fethiye Tarhanası,Yemekler ve çorbalar,Muğla,256
Gayle Zengil,Yemekler ve çorbalar,Hakkari,232
"Gaziantep / Antep Altı Ezmeli Kebap, Gaziantep / Antep Altı Ezmeli Kuşbaşı Kebabı, Gaziantep / Antep Altı Ezmeli Kıyma Kebabı",Yemekler ve çorbalar,Gaziantep,197
Gaziantep / Antep Ekşili / Akıtmalı Ufak Köfte,Yemekler ve çorbalar,Gaziantep,167
Gaziantep / Antep Yarım Tava,Yemekler ve çorbalar,Gaziantep,215
Gaziantep Alenaziği /Antep Alenaziği,Yemekler ve çorbalar,Gaziantep,274
Gaziantep Arap Köftesi / Antep Arap Köftesi,Yemekler ve çorbalar,Gaziantep,245
Gaziantep Buhara Pilavı / Antep Buhara Pilavı,Yemekler ve çorbalar,Gaziantep,179
Gaziantep Börek Çorbası / Antep Börek Çorbası,Yemekler ve çorbalar,Gaziantep,243
Gaziantep Börk Aşı / Gaziantep Mıcırık Aşı,Yemekler ve çorbalar,Gaziantep,252
Gaziantep Cağırtlak Kebabı/ Antep Cağırtlak Kebabı / Gaziantep Cartlak Kebabı / Antep Cartlak Kebabı,Yemekler ve çorbalar,Gaziantep,195
Gaziantep Damat Dolması / Gaziantep Kuzu İçli Kabak Dolma,Yemekler ve çorbalar,Gaziantep,242
Gaziantep Doğrama/Antep Doğrama,Yemekler ve çorbalar,Gaziantep,238
Gaziantep Fasulyeli Kabak Dolması,Yemekler ve çorbalar,Gaziantep,184
Gaziantep Haveydi Köfte / Antep Haveydi Köfte,Yemekler ve çorbalar,Gaziantep,251
Gaziantep Haylan Kabağı Dolması / Antep Haylan Kabağı Dolması,Yemekler ve çorbalar,Gaziantep,260
Gaziantep Kabaklama/Antep Kabaklama,Yemekler ve çorbalar,Gaziantep,284
Gaziantep Küşleme Kebabı/Antep Küşleme Kebabı,Yemekler ve çorbalar,Gaziantep,282
Gaziantep Lebeniye Çorbası/Antep Lebeniye Çorbası,Yemekler ve çorbalar,Gaziantep,173
Gaziantep Malhıtalı Aşı/Lapası,Yemekler ve çorbalar,Gaziantep,193
Gaziantep Malhıtalı Köftesi/Gaziantep Mercimekli Köftesi,Yemekler ve çorbalar,Gaziantep,258
Gaziantep Mumbar Dolması/ Antep Mumbar Dolması,Yemekler ve çorbalar,Gaziantep,258
Gaziantep Nohut Dürümü/Antep Nohut Dürümü,Yemekler ve çorbalar,Gaziantep,258
Gaziantep Omacı/Antep Omacı/Pisik Köftesi,Yemekler ve çorbalar,Gaziantep,360
Gaziantep Pirpirim Aşı/Antep Pirpirim Aşı,Yemekler ve çorbalar,Gaziantep,261
Gaziantep Sarımsak Aşı,Yemekler ve çorbalar,Gaziantep,286
Gaziantep Sarımsak Kebabı,Yemekler ve çorbalar,Gaziantep,278
Gaziantep Simit Aşı/Antep Simit Aşı,Yemekler ve çorbalar,Gaziantep,264
Gaziantep Simit Kebabı/Antep Simit Kebabı,Yemekler ve çorbalar,Gaziantep,221
Gaziantep Sini Köftesi,Yemekler ve çorbalar,Gaziantep,269
Gaziantep Süzek Yapması / Antep Süzek Yapması,Yemekler ve çorbalar,Gaziantep,200
Gaziantep Tene Katması / Antep Tene Katması,Yemekler ve çorbalar,Gaziantep,224
Gaziantep Yağlı Köfte / Antep Yağlı Köfte,Yemekler ve çorbalar,Gaziantep,213
Gaziantep Yenidünya Kebabı/Antep Yenidünya Kebabı,Yemekler ve çorbalar,Gaziantep,239
Gaziantep Yoğurtlu Patates/Antep Yoğurtlu Patates,Yemekler ve çorbalar,Gaziantep,339
Gaziantep Yoğurtlu Taze Fasulye/Antep Yoğurtlu Taze Fasulye,Yemekler ve çorbalar,Gaziantep,151
Gaziantep Öz Çorba/Antep Öz Çorba,Yemekler ve çorbalar,Gaziantep,266
Gaziantep İçli Köftesi / Antep İçli Köftesi,Yemekler ve çorbalar,Gaziantep,162
Gaziantep/Antep Alaca Çorba,Yemekler ve çorbalar,Gaziantep,214
Gaziantep/Antep Ayvalı Ekşili Taraklık,Yemekler ve çorbalar,Gaziantep,284
Gaziantep/Antep Bakla Tavası,Yemekler ve çorbalar,Gaziantep,238
Gaziantep/Antep Erik Tavası,Yemekler ve çorbalar,Gaziantep,187
Gaziantep/Antep Firik Pilavı,Yemekler ve çorbalar,Gaziantep,203
Gaziantep/Antep Firikli Acur Dolması,Yemekler ve çorbalar,Gaziantep,266
Gaziantep/Antep Keme Kebabı,Yemekler ve çorbalar,Gaziantep,202
Gaziantep/Antep Maş Piyazı,Yemekler ve çorbalar,Gaziantep,245
Gaziantep/Antep Maş Çorbası,Yemekler ve çorbalar,Gaziantep,237
Gaziantep/Antep Sebzeli Kebap,Yemekler ve çorbalar,Gaziantep,206
Gaziantep/Antep Çağla Aşı,Yemekler ve çorbalar,Gaziantep,331
Gediz Güveci,Yemekler ve çorbalar,Kütahya,264
Gediz Tarhanası,Yemekler ve çorbalar,Kütahya,144
Germencik Ekşili Tavuk,Yemekler ve çorbalar,Aydın,243
Gölhisar Kavurması,Yemekler ve çorbalar,Burdur,205
Hakkari Girara Huluga,Yemekler ve çorbalar,Hakkari,273
Hakkari Gulol,Yemekler ve çorbalar,Hakkari,199
Hakkari Kepaye,Yemekler ve çorbalar,Hakkari,230
Hakkâri Doleme,Yemekler ve çorbalar,Hakkari,258
Hakkâri Doğaba,Yemekler ve çorbalar,Hakkari,274
Hakkâri Kıris,Yemekler ve çorbalar,Hakkari,181
Hatay Ali Nazik,Yemekler ve çorbalar,Hatay,220
Hatay Aşur Yemeği,Yemekler ve çorbalar,Hatay,214
Hatay Bahtenis Dolması,Yemekler ve çorbalar,Hatay,206
Hatay Bakla Ezmesi,Yemekler ve çorbalar,Hatay,314
Hatay Cevizli Biber / Hatay Muhammarası,Yemekler ve çorbalar,Hatay,253
Hatay Ekşi Aşı,Yemekler ve çorbalar,Hatay,178
Hatay Fellah Köftesi,Yemekler ve çorbalar,Hatay,276
Hatay Halavet Kebabı,Yemekler ve çorbalar,Hatay,330
Hatay Humusu,Yemekler ve çorbalar,Hatay,281
Hatay Oruğu,Yemekler ve çorbalar,Hatay,167
Hatay Pirzolalı Yaprak Sarması,Yemekler ve çorbalar,Hatay,213
Hatay Tepsi Oruğu,Yemekler ve çorbalar,Hatay,292
Hatay Tuzlu Yoğurt Çorbası,Yemekler ve çorbalar,Hatay,203
Hatay Yaprak Sarması,Yemekler ve çorbalar,Hatay,255
Hatay Zahter Salatası / Hatay Kekik Salatası,Yemekler ve çorbalar,Hatay,270
Hatay Şeyh Mualla Yemeği,Yemekler ve çorbalar,Hatay,193
Hatay Şiş Börek Çorbası,Yemekler ve çorbalar,Hatay,232
Hınıs Köftesi,Yemekler ve çorbalar,Erzurum,140
Isparta Kabune Pilavı,Yemekler ve çorbalar,Isparta,189
Iğdır Bozbaş Yemeği,Yemekler ve çorbalar,Iğdır,224
Iğdır Omaç Aşı Çorbası,Yemekler ve çorbalar,Iğdır,179
Iğdır Taş Köfte Yemeği,Yemekler ve çorbalar,Iğdır,308
Kahta Bulgur Pilavı,Yemekler ve çorbalar,Adıyaman,171
Kaman Besmeç,Yemekler ve çorbalar,Kırşehir,215
Karaahmetli Tokmak Köfte,Yemekler ve çorbalar,Kırıkkale,241
Karahallı Ciğeri,Yemekler ve çorbalar,Uşak,300
Karaman İlisıra Dolması,Yemekler ve çorbalar,Karaman,170
Karaman Şebit Pilavı,Yemekler ve çorbalar,Karaman,287
Kastamonu Tiridi / Kastamonu Simit Tiridi,Yemekler ve çorbalar,Kastamonu,235
Kayseri Börek Aşı/ Kayseri Böre Aşı Çorbası,Yemekler ve çorbalar,Kayseri,191
Kayseri Fırın Ağzı Kebabı,Yemekler ve çorbalar,Kayseri,256
Kayseri Kurşun Aşı Çorbası,Yemekler ve çorbalar,Kayseri,244
Kayseri Mantısı,Yemekler ve çorbalar,Kayseri,208
Kayseri Tepsi Mantısı,Yemekler ve çorbalar,Kayseri,238
Kayseri Yağlaması,Yemekler ve çorbalar,Kayseri,218
Kazan Kavurması,Yemekler ve çorbalar,Ankara,240
Keşan Satır Et,Yemekler ve çorbalar,Edirne,265
Kilis Ekşili Kebabı,Yemekler ve çorbalar,Kilis,306
Kilis Tava,Yemekler ve çorbalar,Kilis,179
Kilis Şıhılmahşe,Yemekler ve çorbalar,Kilis,331
Konya Badem Helvası,Yemekler ve çorbalar,Konya,147
Konya Balık Çokratması,Yemekler ve çorbalar,Konya,228
Konya Bamya Çorbası,Yemekler ve çorbalar,Konya,261
Konya Bütümet / Konya Orta,Yemekler ve çorbalar,Konya,248
Konya Calla Yemeği,Yemekler ve çorbalar,Konya,207
Konya Cimcik,Yemekler ve çorbalar,Konya,226
Konya Domalan Yemeği,Yemekler ve çorbalar,Konya,213
Konya Ekmek Salması,Yemekler ve çorbalar,Konya,208
Konya Ekşili Kabak,Yemekler ve çorbalar,Konya,273
Konya Etli Düğün Pilavı,Yemekler ve çorbalar,Konya,251
Konya Etli Yaprak Sarması,Yemekler ve çorbalar,Konya,204
Konya Fırın Kebabı / Konya Fürun Kebabı,Yemekler ve çorbalar,Konya,275
Konya Güneyik Salatası,Yemekler ve çorbalar,Konya,249
Konya Hassaten Lokma,Yemekler ve çorbalar,Konya,272
Konya Ildız Kökü Yemeği,Yemekler ve çorbalar,Konya,263
Konya Kikirdekli Kesme Çorbası,Yemekler ve çorbalar,Konya,198
Konya Kuru Kabak Sarması,Yemekler ve çorbalar,Konya,210
Konya Kömbesi,Yemekler ve çorbalar,Konya,269
Konya Kıtırlı Mantı,Yemekler ve çorbalar,Konya,262
Konya Menekşeli Pilav,Yemekler ve çorbalar,Konya,234
Konya Mıkla,Yemekler ve çorbalar,Konya,240
Konya Ovmaç Çorbası,Yemekler ve çorbalar,Konya,292
Konya Patlıcan Bayıldan,Yemekler ve çorbalar,Konya,208
Konya Patlıcan Tiridi,Yemekler ve çorbalar,Konya,260
Konya Paça Yahnisi,Yemekler ve çorbalar,Konya,226
Konya Tandır Çorbası,Yemekler ve çorbalar,Konya,225
Konya Tandırda Çebiç,Yemekler ve çorbalar,Konya,284
Konya Tarhun Çorbası,Yemekler ve çorbalar,Konya,272
Konya Tiridi,Yemekler ve çorbalar,Konya,272
Konya Topalağı,Yemekler ve çorbalar,Konya,294
Konya Tutmaç Çorbası,Yemekler ve çorbalar,Konya,236
Konya Zülbiyesi / Konya Sülbiyesi,Yemekler ve çorbalar,Konya,266
Konya Çirli,Yemekler ve çorbalar,Konya,221
Konya Çullama,Yemekler ve çorbalar,Konya,250
Konya Çöpleme,Yemekler ve çorbalar,Konya,229
Konya Şalgam Gallesi,Yemekler ve çorbalar,Konya,239
Kurşunlu Keşkeği,Yemekler ve çorbalar,Çankırı,262
Kübbülmişviyye,Yemekler ve çorbalar,Kilis,198
Kütahya Cimcik Aşı/Kütahya Cimcik,Yemekler ve çorbalar,Kütahya,329
Kütahya Kaz Tiridi,Yemekler ve çorbalar,Kütahya,190
Kütahya Kızılcık Tarhanası,Yemekler ve çorbalar,Kütahya,180
Küçükyoncalı Keşkeği,Yemekler ve çorbalar,Tekirdağ,287
Kırkağaç Pideli Paça / Kırkağaç Çakal Pideli Paça,Yemekler ve çorbalar,Manisa,271
Kırkağaç Topalak Yemeği,Yemekler ve çorbalar,Manisa,263
Kırıkkale Keskin Tava,Yemekler ve çorbalar,Kırıkkale,263
Kırşehir Ayva Boranısı,Yemekler ve çorbalar,Kırşehir,234
Kırşehir Süla Kabağı Yemeği,Yemekler ve çorbalar,Kırşehir,195
Kırşehir Çirleme Yemeği,Yemekler ve çorbalar,Kırşehir,238
Kırşehir Çullaması,Yemekler ve çorbalar,Kırşehir,205
Malatya Analı Kızlı Köfte / Malatya Tiritli Köfte,Yemekler ve çorbalar,Malatya,279
Malatya Ayranlı Soğuk Çorba,Yemekler ve çorbalar,Malatya,228
Malatya Hırçikli Köfte,Yemekler ve çorbalar,Malatya,198
Malatya Ispanaklı Ekşili Köftesi,Yemekler ve çorbalar,Malatya,221
Malatya Kağıt Kebabı,Yemekler ve çorbalar,Malatya,254
Malatya Pöçüklü Lahana Sarması / Malatya Nahna Küftesi,Yemekler ve çorbalar,Malatya,210
Malatya Simit Pilavı,Yemekler ve çorbalar,Malatya,198
Malatya Tarhanası,Yemekler ve çorbalar,Malatya,246
Malatya Tevek Yaprağı Sarması,Yemekler ve çorbalar,Malatya,246
Malatya İçli Köftesi,Yemekler ve çorbalar,Malatya,212
Maraş Ekşili Çorba,Yemekler ve çorbalar,Kahramanmaraş,214
Maraş Eli Böğründe / Maraş Yanyana,Yemekler ve çorbalar,Kahramanmaraş,245
Maraş Kelle Paçası,Yemekler ve çorbalar,Kahramanmaraş,170
Maraş Tarhanası,Yemekler ve çorbalar,Kahramanmaraş,172
Mardin Alluciye,Yemekler ve çorbalar,Mardin,203
Mardin Firkiye,Yemekler ve çorbalar,Mardin,225
Mardin Irok,Yemekler ve çorbalar,Mardin,249
Mardin Kaburga Dolması,Yemekler ve çorbalar,Mardin,301
Mardin Kebabı,Yemekler ve çorbalar,Mardin,274
Mardin Kibe,Yemekler ve çorbalar,Mardin,228
Mardin Sembusek,Yemekler ve çorbalar,Mardin,234
Mardin İkbebet,Yemekler ve çorbalar,Mardin,190
Mardin İncasiyye,Yemekler ve çorbalar,Mardin,234
Menemen Menemeni,Yemekler ve çorbalar,İzmir,222
Mengen Höşmerimi,Yemekler ve çorbalar,Bolu,250
Mengen Kaldırık Dolması,Yemekler ve çorbalar,Bolu,198
Mengen Kedibatmaz,Yemekler ve çorbalar,Bolu,258
