province,m_param,temp_annual_mean,prec_annual_total,temp_m01,temp_m02,temp_m03,temp_m04,temp_m05,temp_m06,temp_m07,temp_m08,temp_m09,temp_m10,temp_m11,temp_m12,prec_m01,prec_m02,prec_m03,prec_m04,prec_m05,prec_m06,prec_m07,prec_m08,prec_m09,prec_m10,prec_m11,prec_m12
Balıkesir,BALIKESIR,14.733333333333334,524.2,4.8,5.7,7.9,13.1,18.2,23.0,24.9,25.0,21.1,16.6,9.9,6.6,47.9,54.1,65.1,55.7,46.5,16.2,10.0,9.4,20.7,44.4,67.0,87.2
Bartın,BARTIN,13.066666666666668,1072.4,4.1,4.9,7.4,11.4,15.9,20.2,22.6,22.6,18.5,14.4,9.1,5.7,112.8,87.1,82.9,54.1,55.5,82.4,60.6,78.7,99.7,123.9,108.9,125.8
Batman,BATMAN,16.541666666666668,493.59999999999997,3.1,5.1,9.8,14.6,19.8,26.7,30.9,30.4,25.1,18.4,10.0,4.6,58.3,67.9,77.6,71.3,45.2,9.1,2.3,2.6,6.1,36.1,49.3,67.8
Bayburt,BAYBURT,7.5249999999999995,475.6,-5.4,-4.2,1.3,7.2,11.9,15.9,19.3,19.5,15.2,9.9,2.7,-3.0,29.3,32.1,47.3,67.5,78.5,47.0,25.9,16.8,23.0,47.1,31.0,30.1
Bilecik,BILECIK,12.941666666666668,482.1,2.7,4.1,7.2,11.6,16.5,20.4,22.9,23.0,19.1,14.4,8.9,4.5,48.0,44.4,48.7,48.6,43.9,50.6,16.4,11.2,27.0,50.1,37.1,56.1
Bingöl,BINGOL,12.316666666666668,935.1,-2.1,-0.8,4.7,10.9,16.2,22.2,26.7,26.7,21.3,14.5,6.8,0.7,138.7,128.9,134.4,110.5,82.5,21.3,6.6,5.1,15.4,65.3,93.1,133.3
Bitlis,BITLIS,8.950000000000001,1046.6,-4.7,-3.4,0.9,6.8,12.3,18.1,22.6,22.8,18.3,11.2,4.1,-1.6,161.0,114.3,170.0,136.6,105.7,14.6,11.1,6.1,27.9,89.0,86.8,123.5
Bolu,BOLU,10.924999999999999,573.6,1.1,2.5,5.4,9.9,14.5,17.9,20.5,20.7,16.6,12.2,6.9,2.9,55.6,50.6,56.2,52.8,64.2,68.9,28.4,27.4,26.5,48.5,40.4,54.1
Burdur,BURDUR,13.5,432.3,2.5,4.0,7.4,11.7,16.7,21.5,25.2,25.1,20.5,14.8,8.5,4.1,48.0,35.1,46.9,49.1,49.3,29.9,18.8,12.8,17.1,32.7,36.8,55.8
Bursa,BURSA,14.941666666666668,719.1,5.4,6.5,9.0,13.0,18.1,22.6,25.1,25.2,20.8,15.9,10.7,7.0,79.2,78.2,74.9,68.6,47.9,42.8,14.3,17.5,50.1,84.4,67.3,93.9
Denizli,DENIZLI,16.866666666666667,573.8,6.2,7.6,10.7,15.1,20.2,25.1,28.3,28.2,23.5,17.9,11.9,7.7,85.7,69.7,63.8,54.8,47.9,31.8,16.3,12.1,15.7,37.1,57.8,81.1
Diyarbakır,DIYARBAKIR,15.891666666666666,498.4,2.1,3.8,8.7,13.5,18.9,26.3,31.0,30.5,25.0,17.8,9.3,3.8,63.6,66.8,67.5,63.1,50.0,10.8,1.0,0.4,8.4,37.3,54.3,75.2
Düzce,DUZCE,13.616666666666667,822.9,4.1,5.5,8.2,12.3,17.0,20.8,23.1,23.2,19.3,14.8,9.5,5.6,87.1,70.7,77.1,60.6,61.5,76.7,39.3,51.1,52.7,82.8,67.6,95.7
Edirne,EDIRNE,14.191666666666668,625.2,2.8,4.8,8.3,13.2,18.5,22.9,25.3,25.4,20.6,14.8,9.3,4.4,65.8,53.3,52.8,44.0,57.5,46.0,39.6,24.0,39.2,66.1,66.4,70.5
Elazığ,ELAZIG,13.491666666666667,404.0,0.1,1.5,6.7,12.1,17.1,23.0,27.4,27.3,21.9,15.3,7.3,2.2,37.8,41.8,50.9,60.7,51.4,13.6,3.3,1.3,9.9,42.1,45.6,45.6
Erzincan,ERZINCAN,11.508333333333333,380.1,-1.9,-0.3,5.3,11.0,15.7,20.5,24.3,24.5,19.6,13.2,5.7,0.5,26.3,29.7,45.5,54.2,57.2,25.2,14.1,6.6,17.5,41.9,36.2,25.7
Erzurum,ERZURUM,5.333333333333333,396.0,-10.2,-8.8,-1.9,5.5,10.5,14.8,19.1,19.5,14.3,8.1,0.2,-7.1,16.2,19.4,34.9,56.2,72.4,42.1,21.9,16.5,22.7,46.8,25.6,21.3
Eskişehir,ESKISEHIR,11.525,346.0,0.2,2.3,6.2,10.4,15.5,19.6,22.5,22.7,18.2,12.5,6.4,1.8,35.7,27.5,28.5,37.0,39.8,40.5,15.5,15.8,17.1,31.8,21.6,35.2
Gaziantep,GAZIANTEP,15.958333333333334,601.6,3.9,5.1,9.3,14.0,19.3,24.8,28.7,28.7,24.2,17.7,10.2,5.6,98.1,89.6,68.9,56.1,32.9,9.2,10.6,8.5,13.1,42.6,67.5,104.5
Giresun,GIRESUN,15.075000000000001,1308.4,7.6,7.4,8.8,11.6,16.0,20.8,23.7,24.3,21.0,17.2,12.8,9.7,127.6,92.0,98.0,72.8,73.1,83.9,82.2,81.8,133.7,175.8,158.5,129.0
Gümüşhane,GUMUSHANE,9.791666666666666,465.9,-1.4,-0.2,4.0,9.2,13.6,17.3,20.3,20.6,16.8,11.8,4.9,0.6,35.0,33.4,46.7,59.0,68.3,46.2,14.0,14.2,25.2,46.1,41.9,35.9
Hakkari,HAKKARI,10.691666666666668,777.0,-4.1,-2.6,2.7,8.6,14.4,20.5,25.0,25.2,20.7,13.6,5.5,-1.2,90.8,102.3,119.2,119.0,68.9,14.5,9.3,5.4,10.9,56.2,77.8,102.7
Hatay,HATAY,18.591666666666665,1124.2,8.2,9.9,13.6,17.4,21.6,25.1,27.6,28.3,26.1,21.5,14.3,9.5,179.5,162.0,145.1,108.4,89.8,20.3,8.1,5.4,61.7,56.0,99.2,188.7
Isparta,ISPARTA,12.549999999999999,526.3,1.8,3.3,6.6,10.8,15.6,20.3,24.0,23.9,19.3,13.8,7.7,3.5,70.3,51.5,55.2,51.6,60.1,30.9,19.3,16.1,20.8,38.5,43.6,68.4
