Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Afyonkarahisar Patatesli Ekmeği;C2018/033;29.01.2018;371;30.07.2018;Menşe Adı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Çullama Köfte;C2020/123;9.06.2020;695;17.03.2021;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Övmesi / Afyon Övmesi;C2021/000250;19.06.2021;1121;23.05.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afşin Koçovası Sarımsağı;C2020/057;19.02.2020;787;28.06.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş;Afşin İlçe Tarım ve Orman Müdürlüğü;Tescilli
Afşin Tava;C2023/000114;20.03.2023;1570;17.04.2024;Mahreç İşareti;Yemekler ve çorbalar;Kahramanmaraş;Afşin İlçe Tarım ve Orman Müdürlüğü;Tescilli
Ahlat Bastonu;C2017/112;25.08.2017;298;26.12.2017;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Bitlis;Ahlat Kaymakamlığı;Tescilli
Ahırlı Köpük Helvası;C2022/000236;1.08.2022;1629;14.08.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Ahırlı İlçe Tarım ve Orman Müdürlüğü;Tescilli
Akdağmadeni Salebi;C2020/070;6.03.2020;889;16.09.2021;Mahreç İşareti;Diğer ürünler;Yozgat;Akdağmadeni Belediyesi;Tescilli
Akhisar Domat Zeytini;C2010/058;4.11.2010;166;13.12.2012;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa;Akhisar Ticaret ve Sanayi Odası;Tescilli
Akhisar Domat Zeytinyağı;C2017/176;10.11.2017;1055;28.03.2022;Mahreç İşareti;Tereyağı dâhil katı ve sıvı yağlar;Manisa;Akhisar Ticaret ve Sanayi Odası;Tescilli
Akhisar Köfte;C2017/063;26.07.2017;322;9.01.2018;Mahreç İşareti;Yemekler ve çorbalar;Manisa;Akhisar Ticaret ve Sanayi Odası;Tescilli
Akhisar Uslu Zeytini;C2010/057;4.11.2010;165;13.12.2012;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa;Akhisar Ticaret ve Sanayi Odası;Tescilli
Akhisar Uslu Zeytinyağı;C2017/177;10.11.2017;1056;28.03.2022;Mahreç İşareti;Tereyağı dâhil katı ve sıvı yağlar;Manisa;Akhisar Ticaret ve Sanayi Odası;Tescilli
Akkuş Şeker Fasulyesi;C2010/017;26.03.2010;156;23.03.2012;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ordu;Akkuş Ziraat Odası;Tescilli
Akkışla Gilaburusu;C2016/098;22.09.2016;669;12.02.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri;Akkışla Belediyesi;Tescilli
Aksaray Kabak Çekirdeği;C2018/213;23.11.2018;673;12.02.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aksaray;Aksaray Ticaret Borsası;Tescilli
Aksaray Köpük Helva;C2020/200;17.07.2020;891;16.09.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray;Aksaray Belediyesi;Tescilli
Aksaray Tahinlisi;C2020/219;13.08.2020;766;25.05.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray;Aksaray Belediyesi;Tescilli
Aksaray Tulum Kebabı;C2017/216;27.11.2017;417;15.02.2019;Mahreç İşareti;Yemekler ve çorbalar;Aksaray;Aksaray İl Kültür ve Turizm Müdürlüğü;Tescilli
Aksaray Un Kurabiyesi / Aksaray Asker Kurabiyesi;C2021/000410;7.10.2021;1149;14.06.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray;Aksaray Belediyesi;Tescilli
Aksaray Çerezlik Ayçekirdeği;C2022/000265;22.08.2022;1492;3.11.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aksaray;Aksaray Ticaret Borsası;Tescilli
Aksaray İnceelek Tatlısı;C2018/196;19.10.2018;464;17.10.2019;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray;Aksaray İl Kültür ve Turizm Müdürlüğü;Tescilli
Aksaray Şeker Böreği;C2021/000289;26.07.2021;1089;20.04.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray;Aksaray Belediyesi;Tescilli
Aksaray Şerbetli Pidesi;C2020/211;30.07.2020;765;25.05.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aksaray;Aksaray Belediyesi;Tescilli
Akyurt Fıtı Çorbası;C2021/049;30.01.2021;957;24.11.2021;Mahreç İşareti;Yemekler ve çorbalar;Ankara;Akyurt Belediyesi;Tescilli
Akyurt Homaçası;C2021/009;6.01.2021;982;23.12.2021;Mahreç İşareti;Yemekler ve çorbalar;Ankara;Akyurt Belediyesi;Tescilli
Akyurt Soğuk Çorbası;C2021/048;30.01.2021;1039;2.03.2022;Mahreç İşareti;Yemekler ve çorbalar;Ankara;Akyurt Belediyesi;Tescilli
Akyurt Tandır Böreği;C2021/008;6.01.2021;872;20.08.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara;Akyurt Belediyesi;Tescilli
Akyurt Teberik Fasulyesi;C2022/000032;24.01.2022;1510;22.12.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara;Akyurt Belediyesi;Tescilli
Akyurt Toyga Aşı / Akyurt Toyga Çorbası;C2021/047;30.01.2021;1094;26.04.2022;Mahreç İşareti;Yemekler ve çorbalar;Ankara;Akyurt Belediyesi;Tescilli
Akyurt Tutmaç Aşı /Çorbası;C2021/046;30.01.2021;1038;2.03.2022;Mahreç İşareti;Yemekler ve çorbalar;Ankara;Akyurt Belediyesi;Tescilli
Akçaabat Köftesi;C2008/041;31.07.2008;132;10.05.2010;Mahreç İşareti;Yemekler ve çorbalar;Trabzon;Trabzon Ticaret ve Sanayi Odası;Tescilli
Akçabelen (Çetmi) Şeker Fasulyesi;C2017/078;27.07.2017;447;29.08.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;S.S. Akçabelen Beldesi Tarımsal Kalkınma Kooperatifi;Tescilli
Akçadağ Armudu;C2023/000013;10.01.2023;1609;7.07.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya;Akçadağ Belediyesi;Tescilli
Akçadağ Halısı;C2018/088;16.03.2018;422;8.03.2019;Mahreç İşareti;Halılar ve kilimler;Malatya;Malatya İl Kültür Turizm Müdürlüğü;Tescilli
Akçadağ Kömbesi;C2018/100;27.04.2018;726;16.04.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Malatya;Akçadağ Belediyesi;Tescilli
Akçadağ Pilavı;C2023/000014;10.01.2023;1610;8.07.2024;Mahreç İşareti;Yemekler ve çorbalar;Malatya;Akçadağ Belediyesi;Tescilli
Akçakoca Ekşilisi;C2025/000001;3.01.2025;1767;1.09.2025;Mahreç İşareti;Yemekler ve çorbalar;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Akçakoca Kaplandede Kestanesi;C2022/000019;19.01.2022;1201;25.08.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce;Akçakoca Ticaret ve Sanayi Odası;Tescilli
Akçakoca Mancarlı Pidesi;C2017/141;12.09.2017;321;29.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Düzce;Akçakoca Ticaret ve Sanayi Odası;Tescilli
Akçakoca Melengücceği Tatlısı;C2017/127;12.09.2017;279;18.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Düzce;Akçakoca Ticaret ve Sanayi Odası;Tescilli
Akçakoca Sarı Fındığı;C2017/094;18.08.2017;419;27.02.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce;Akçakoca Ticaret ve Sanayi Odası;Tescilli
Akşehir Hersesi;C2018/046;22.02.2018;1068;7.04.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Akşehir Belediyesi;Tescilli
Akşehir Kirazı;C2003/025;14.11.2003;75;4.08.2005;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;Akşehir İlçe Tarım ve Orman Müdürlüğü;Tescilli
Akşehir Peynir Baklavası;C2018/045;22.02.2018;978;20.12.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Akşehir Belediyesi;Tescilli
Akşehir Tandır Kebabı;C2018/204;22.10.2018;596;20.11.2020;Mahreç İşareti;Yemekler ve çorbalar;Konya;Akşehir Belediyesi;Tescilli
Alaca Borana Yemeği;C2023/000056;27.02.2023;1530;1.02.2024;Mahreç İşareti;Yemekler ve çorbalar;Çorum;Alaca Belediyesi;Tescilli
Alaca Camili Kilimi;C2023/000092;1.03.2023;1578;19.04.2024;Mahreç İşareti;Halılar ve kilimler;Çorum;Alaca Belediyesi;Tescilli
Alaca Cızlağı;C2023/000057;27.02.2023;1531;1.02.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çorum;Alaca Belediyesi;Tescilli
Alaca Hingali;C2023/000088;28.02.2023;1625;6.08.2024;Mahreç İşareti;Yemekler ve çorbalar;Çorum;Alaca Belediyesi;Tescilli
Alaca Mor Soğanı / Alaca Moru;C2021/000102;4.03.2021;1289;14.12.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çorum;Alaca Belediyesi;Tescilli
Alaca Yanıç Böreği;C2023/000085;28.02.2023;1503;22.11.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çorum;Alaca Belediyesi;Tescilli
Alaca Yarma Aşı;C2023/000086;28.02.2023;1502;22.11.2023;Mahreç İşareti;Yemekler ve çorbalar;Çorum;Alaca Belediyesi;Tescilli
Alaca Çılbır Yemeği;C2023/000059;27.02.2023;1624;5.08.2024;Mahreç İşareti;Yemekler ve çorbalar;Çorum;Alaca Belediyesi;Tescilli
Alanya Avokadosu;C2015/031;14.07.2015;386;15.10.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya;Alanya Ticaret ve Sanayi Odası;Tescilli
Alanya Fıstıklı Limonata;C2023/000162;24.05.2023;1572;17.04.2024;Mahreç İşareti;Alkolsüz içecekler;Antalya;Alanya Belediyesi;Tescilli
Alanya Gülüklü (Hülüklü) Çorba;C2018/075;27.03.2018;459;26.09.2019;Mahreç İşareti;Yemekler ve çorbalar;Antalya;Alanya Belediyesi;Tescilli
Alanya Keçiboynuzu / Alanya Harnub;C2024/000134;17.04.2024;1705;26.02.2025;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya;Alanya Ticaret ve Sanayi Odası;Tescilli
Alanya Muzu;C2022/000008;11.01.2022;1176;25.07.2022;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya;Alanya Ticaret ve Sanayi Odası;Tescilli
Alanya Yenidünyası;C2017/145;22.09.2017;373;7.08.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya;Alanya Ticaret ve Sanayi Odası;Tescilli
Alaşehir Asma Yaprağı;C2021/000110;10.03.2021;894;17.09.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa;Alaşehir Ticaret ve Sanayi Odası;Tescilli
Alaşehir Ekmeği;C2021/000178;11.04.2021;1119;23.05.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Manisa;Alaşehir Ticaret ve Sanayi Odası;Tescilli
Alaşehir Kapaması / Alaşehir Kapatması;C2021/000177;11.04.2021;1032;14.02.2022;Mahreç İşareti;Yemekler ve çorbalar;Manisa;Alaşehir Ticaret ve Sanayi Odası;Tescilli
Alaşehir Tahinli Pidesi;C2022/000178;6.06.2022;1423;26.07.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Manisa;Alaşehir Ticaret ve Sanayi Odası;Tescilli
Altınözü Cimemi;C2021/000296;30.07.2021;1255;11.11.2022;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Hatay;Altınözü Belediyesi;Tescilli
Altınözü Zeytinyağı;C2019/155;25.10.2019;1486;18.10.2023;Mahreç İşareti;Tereyağı dâhil katı ve sıvı yağlar;Hatay;Altınözü Kaymakamlığı;Tescilli
Alucra Oğlak Kebabı;C2019/004;14.01.2019;582;27.10.2020;Mahreç İşareti;Yemekler ve çorbalar;Giresun;Giresun İl Tarım ve Orman Müdürlüğü;Tescilli
Amasya Ayva Gallesi;C2021/000387;30.09.2021;1287;13.12.2022;Mahreç İşareti;Yemekler ve çorbalar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Baklalı Dolması;C2020/442;21.12.2020;853;17.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Amasya;Amasya Esnaf ve Sanatkarlar Odaları Birliği;Tescilli
Amasya Beji Mermeri;C2017/194;10.11.2017;358;11.06.2018;Menşe Adı;Diğer ürünler;Amasya;Amasya Sanayi ve Teknoloji İl Müdürlüğü;Tescilli
Amasya Cevizli Ballı Baklavası;C2021/000413;7.10.2021;1301;23.12.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Etli Çiçek Bamyası Yemeği;C2021/000108;9.03.2021;953;22.11.2021;Mahreç İşareti;Yemekler ve çorbalar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Kaypağı/Amasya Piruhisi;C2023/000006;9.01.2023;1498;21.11.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Keşkeği;C2021/000383;30.09.2021;1183;28.07.2022;Mahreç İşareti;Yemekler ve çorbalar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Kirazı;C2022/000010;12.01.2022;1166;18.07.2022;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Misket Elması;C2016/004;8.01.2016;424;14.03.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Amasya;Amasya İl Tarım ve Orman Müdürlüğü;Tescilli
Amasya Patlıcan Pehli;C2021/000279;14.07.2021;1061;5.04.2022;Mahreç İşareti;Yemekler ve çorbalar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Semaveri;C2021/000395;4.10.2021;1298;21.12.2022;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Amasya;Amasya Ticaret ve Sanayi Odası;Tescilli
Amasya Sıkma Tarhanası;C2021/000230;3.06.2021;1300;23.12.2022;Mahreç İşareti;Yemekler ve çorbalar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Toyga Çorbası;C2020/443;21.12.2020;960;1.12.2021;Mahreç İşareti;Yemekler ve çorbalar;Amasya;Amasya Esnaf ve Sanatkarlar Odaları Birliği;Tescilli
Amasya Unutma Beni Tatlısı;C2022/000267;24.08.2022;1497;20.11.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya;Ziyaret Belediyesi;Tescilli
Amasya Yanuç;C2023/000159;17.05.2023;1501;22.11.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Yağlısı;C2021/000229;3.06.2021;1150;16.06.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Çatal Çorbası;C2023/000007;9.01.2023;1788;6.11.2025;Mahreç İşareti;Yemekler ve çorbalar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Amasya Çiçek Bamyası;C2016/031;21.04.2016;352;29.05.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Amasya;Amasya İl Tarım ve Orman Müdürlüğü;Tescilli
Amasya Çöreği;C2021/000076;24.02.2021;874;24.08.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya;Yeşilırmak Havzası Kalkınma Birliği;Tescilli
Anamur Batırığı;C2022/000374;2.11.2022;1534;2.02.2024;Mahreç İşareti;Yemekler ve çorbalar;Mersin;Anamur İlçe Tarım ve Orman Müdürlüğü;Tescilli
Anamur Muzu;C2001/008;12.06.2001;56;9.07.2003;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin;Anamur Ticaret ve Sanayi Odası;Tescilli
Andırın Andız Pekmezi;C2021/000458;3.11.2021;1254;11.11.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş;Kahramanmaraş Büyükşehir Belediyesi;Tescilli
Andırın Tirşiği;C2010/024;6.05.2010;172;25.04.2013;Mahreç İşareti;Yemekler ve çorbalar;Kahramanmaraş;Andırınlılar Eğitim Kültür Yardımlaşma Derneği;Tescilli
Ankara Andezit Taşı;C2021/028;26.01.2021;989;27.12.2021;Menşe Adı;Diğer ürünler;Ankara;Ankara Ticaret Odası;Tescilli
Ankara Döneri;C2014/063;30.09.2014;233;5.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Ankara;Ankara Ticaret Odası;Tescilli
Ankara Erkeç Pastırması;C2017/018;17.03.2017;408;8.01.2019;Menşe Adı;İşlenmiş ve işlenmemiş et ürünleri;Ankara;Ankara Ticaret Odası;Tescilli
Ankara Seymen Kıyafeti / Ankara Seğmen Kıyafeti;C2021/000228;3.06.2021;1133;6.06.2022;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Ankara;Ankara Büyükşehir Belediyesi;Tescilli
Ankara Simidi;C2014/055;22.08.2014;235;5.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara;Ankara Ticaret Odası;Tescilli
Ankara Sof Kumaşı;C2022/000416;24.11.2022;1511;22.12.2023;Mahreç İşareti;Dokumalar;Ankara;T.C. Ankara Valiliği;Tescilli
Ankara Tava;C2014/061;12.09.2014;234;5.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Ankara;Ankara Ticaret Odası;Tescilli
Ankara Tiftiği;C2020/076;10.03.2020;802;16.07.2021;Menşe Adı;Diğer ürünler;Ankara;Ankara Ticaret Odası;Tescilli
Antakya Carra Peyniri;C2019/088;19.07.2019;679;18.02.2021;Menşe Adı;Peynirler;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Antakya Ekmek Oruğu / Antakya Fış Oruk;C2024/000368;11.12.2024;1787;5.11.2025;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Valiliği;Tescilli
Antakya Kağıt Kebabı;C2019/087;19.07.2019;523;24.08.2020;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Antakya Küflü Sürkü (Çökeleği);C2017/134;6.09.2017;359;12.06.2018;Mahreç İşareti;Peynirler;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Antakya Külçesi;C2023/000292;9.11.2023;1603;27.06.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Antakya Künefelik Peyniri;C2018/173;28.08.2018;979;22.12.2021;Mahreç İşareti;Peynirler;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Antakya Künefesi;C2006/006;14.04.2006;101;5.09.2008;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Antakya Sakal Kaldıran Tatlısı;C2024/000367;11.12.2024;1786;5.11.2025;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Valiliği;Tescilli
Antakya Simidi;C2023/000258;19.10.2023;1646;3.10.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Valiliği;Tescilli
Antakya Sürkü (Antakya Çökeleği);C2017/037;9.05.2017;330;26.02.2018;Mahreç İşareti;Peynirler;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Antakya Tuzlu Yoğurdu;C2019/055;9.05.2019;532;10.09.2020;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Antakya Zılk Sarması;C2023/000284;3.11.2023;1583;6.05.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Antalya Bergamot Kabuğu Reçeli;C2018/231;7.12.2018;771;26.05.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya;Antalya Ticaret ve Sanayi Odası;Tescilli
Antalya Kabak Tatlısı;C2019/134;27.09.2019;719;12.04.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Antalya;Antalya Ticaret ve Sanayi Odası;Tescilli
Antalya Paça Çorbası;C2021/000551;29.12.2021;1200;24.08.2022;Mahreç İşareti;Yemekler ve çorbalar;Antalya;Muratpaşa Belediyesi;Tescilli
Antalya Piyazı;C2017/040;15.05.2017;315;29.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Antalya;Antalya Ticaret ve Sanayi Odası;Tescilli
Antalya Serpme Böreği;C2020/052;13.02.2020;736;26.04.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Antalya;Antalya Ticaret ve Sanayi Odası;Tescilli
Antalya Tavşan Yüreği Zeytini;C2014/033;4.06.2014;384;6.09.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya;Antalya Ticaret Borsası;Tescilli
Antalya Topak Kızartması;C2023/000191;28.07.2023;1613;11.07.2024;Mahreç İşareti;Yemekler ve çorbalar;Antalya;Kumluca Belediyesi;Tescilli
Antalya Turunç Kabuğu Reçeli;C2018/232;7.12.2018;772;26.05.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya;Antalya Ticaret ve Sanayi Odası;Tescilli
Antep Allı Yeşilli Dolma /Antep Nakışlı Dolma /Antep Yaz Dolması;C2020/172;4.07.2020;790;1.07.2021;Mahreç İşareti;Yemekler ve çorbalar;Gaziantep;Gaziantep'i Geliştirme Vakfı;Tescilli
Antep Baklavası;C2005/005;28.03.2005;95;4.01.2008;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep;Gaziantep Sanayi Odası;Tescilli
Antep Beyranı;C2015/020;8.05.2015;207;13.01.2017;Mahreç İşareti;Yemekler ve çorbalar;Gaziantep;Gaziantep Büyükşehir Belediyesi;Tescilli
Antep Biber Salçası / Gaziantep Biber Salçası;C2018/053;5.03.2018;1222;14.09.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Bulguru / Gaziantep Bulguru;C2017/017;16.03.2017;289;25.12.2017;Mahreç İşareti;Diğer ürünler;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Dolmalık Biber Kurusu / Gaziantep Dolmalık Biber Kurusu;C2018/050;12.02.2018;752;10.05.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Firiği;C2017/007;18.01.2017;244;24.11.2017;Menşe Adı;Diğer ürünler;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Fıstık Ezmesi (Antepfıstığı Ezmesi / Gaziantep Fıstık Ezmesi);C2017/004;23.01.2017;237;20.11.2017;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Fıstığı;C1997/001;18.09.1997;27;17.05.2000;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep;Gaziantep Ticaret Odası;Tescilli
Antep Haylan Kabağı Kurusu / Gaziantep Haylan Kabağı Kurusu;C2017/220;30.11.2017;1067;7.04.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Karası Kuru Üzümü;C2017/219;5.12.2017;1066;7.04.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Katmeri;C2015/010;23.01.2015;264;7.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep;Gaziantep'i Geliştirme Vakfı;Tescilli
Antep Kurabiyesi;C2018/049;12.02.2018;433;18.06.2019;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Kuruluk Patlıcanı (Gaziantep Kuru Patlıcanı);C2017/031;24.04.2017;376;14.08.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Kutnu Kumaşı;C2015/009;19.01.2015;199;25.08.2016;Mahreç İşareti;Dokumalar;Gaziantep;Gaziantep'i Geliştirme Vakfı;Tescilli
Antep Köy Kahkesi (Gaziantep Köy Kahkesi);C2017/059;14.07.2017;291;25.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Kübban Ekmeği;C2021/000436;21.10.2021;1042;7.03.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
Antep Lahmacunu / Gaziantep Lahmacunu;C2017/021;31.03.2017;236;20.11.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep;Gaziantep Ticaret Borsası;Tescilli
