Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Kahta Bademli İrmik Helvası;C2020/019;17.01.2020;700;24.03.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adıyaman;Kahta Kaymakamlığı;Tescilli
Kahta Bulgur Pilavı;C2020/016;17.01.2020;701;24.03.2021;Mahreç İşareti;Yemekler ve çorbalar;Adıyaman;Kahta Kaymakamlığı;Tescilli
Kahta Narı;C2020/018;17.01.2020;699;24.03.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adıyaman;Kahta Kaymakamlığı;Tescilli
Kale Biberi;C2008/049;18.12.2008;139;11.02.2010;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli;Kale Belediyesi;Tescilli
Kalecik Ekmeği;C2020/110;13.05.2020;559;6.10.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara;Kalecik Belediyesi;Tescilli
Kalecik Karası Üzümü;C2005/019;7.06.2005;89;6.07.2007;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara;Kalecik Belediyesi;Tescilli
Kalecik Çöreği;C2020/111;13.05.2020;560;7.10.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara;Kalecik Belediyesi;Tescilli
Kaman Besmeç;C2022/000031;24.01.2022;1306;30.12.2022;Mahreç İşareti;Yemekler ve çorbalar;Kırşehir;Kaman Belediyesi;Tescilli
Kaman Cevizi;C2019/156;30.10.2019;624;9.12.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kırşehir;Kaman İlçe Tarım ve Orman Müdürlüğü;Tescilli
Kandıra Bezi;C2018/008;9.01.2018;396;23.11.2018;Mahreç İşareti;Dokumalar;Kocaeli;Kandıra Halk Eğitim Merkezi;Tescilli
Kandıra Dartısı;C2020/217;13.08.2020;1099;6.05.2022;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Kocaeli;Kocaeli İl Kültür ve Turizm Müdürlüğü;Tescilli
Kandıra Karpuzu;C2020/215;6.08.2020;788;28.06.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kocaeli;Kandıra İlçe Tarım ve Orman Müdürlüğü;Tescilli
Kandıra Manda Yoğurdu;C2020/235;20.08.2020;1474;26.09.2023;Menşe Adı;Peynirler ve tereyağı dışında kalan süt ürünleri;Kocaeli;Kocaeli Ticaret Odası;Tescilli
Kangal Balıklı Kaplıcası;C2002/007;6.05.2002;46;7.04.2003;Menşe Adı;Diğer ürünler;Sivas;Kangal Kaymakamlığı;Tescilli
Kangal Koyunu;C2002/008;6.05.2002;47;7.04.2003;Menşe Adı;Diğer ürünler;Sivas;Kangal Kaymakamlığı;Tescilli
Kapıdağ Mor Soğanı;C2018/057;1.03.2018;362;2.07.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir;Erdek Ticaret Odası;Tescilli
Karaahmetli Tokmak Köfte;C2023/000051;19.02.2023;1781;30.09.2025;Mahreç İşareti;Yemekler ve çorbalar;Kırıkkale;Kırıkkale Pastacılar Aşçılar Kebapçılar Derneği;Tescilli
Karacabey Soğanı;C2014/074;4.12.2014;247;30.11.2017;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa;Karacabey Ticaret Borsası;Tescilli
Karacadağ Pirinci;C2010/059;4.11.2010;337;28.03.2018;Menşe Adı;Diğer ürünler;Diyarbakır;Diyarbakır Ticaret ve Sanayi Odası;Tescilli
Karacakılavuz Dimi Dokuması;C2018/141;27.06.2018;467;30.10.2019;Mahreç İşareti;Dokumalar;Tekirdağ;Tekirdağ İl Kültür ve Turizm Müdürlüğü;Tescilli
Karacalar Üzümü;C2022/000184;12.06.2022;1784;30.10.2025;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Afyonkarahisar;Emirdağ Belediyesi;Tescilli
Karacasu Pidesi;C2018/149;12.07.2018;536;17.09.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın;Karacasu Esnaf ve Sanatkârlar Odası;Tescilli
Karacasu Çömleği;C2019/056;10.05.2019;606;23.11.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Aydın;Nazilli Ticaret Odası, Karacasu Esnaf ve Sanatkârlar Odası;Tescilli
Karadeniz Ereğli Osmanlı Çileği;C2019/020;25.02.2019;794;5.07.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Zonguldak;Kdz.Ereğli Osmanlı Çileğini Yaygınlaştırma ve Üreticileri Koruma Derneği;Tescilli
Karahallı Ciğeri;C2022/000147;21.05.2022;1283;9.12.2022;Mahreç İşareti;Yemekler ve çorbalar;Uşak;Karahallı Belediyesi;Tescilli
Karahallı Kavunu;C2022/000148;21.05.2022;1359;22.05.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Uşak;Karahallı Belediyesi;Tescilli
Karaisalı Biberi;C2022/000434;2.12.2022;1689;16.01.2025;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana;Karaisalı Belediyesi;Tescilli
Karaköprü Narı;C2018/012;8.01.2018;445;22.08.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa;Karaköprü Belediyesi;Tescilli
Karaköprü Tat Karpuzu;C2020/079;13.03.2020;1096;28.04.2022;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa;Karaköprü Belediyesi;Tescilli
Karaman Divle Obruğu Tulum Peyniri;C2015/022;16.06.2015;270;8.12.2017;Menşe Adı;Peynirler;Karaman;Karaman Ticaret ve Sanayi Odası;Tescilli
Karaman Ekşikara Üzümü;C2021/000542;28.12.2021;1274;8.12.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Karaman;Karaman Ticaret ve Sanayi Odası;Tescilli
Karaman Guymak Tatlısı;C2022/000321;28.09.2022;1419;25.07.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman;Karaman İl Tarım ve Orman Müdürlüğü;Tescilli
Karaman Kırma Böreği;C2022/000320;28.09.2022;1420;25.07.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman;Karaman İl Tarım ve Orman Müdürlüğü;Tescilli
Karaman Mayalısı;C2022/000304;14.09.2022;1517;8.01.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman;Karaman İl Tarım ve Orman Müdürlüğü;Tescilli
Karaman Tahinli Pide;C2023/000125;30.03.2023;1518;9.01.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman;Karaman İl Tarım ve Orman Müdürlüğü;Tescilli
Karaman İlisıra Dolması;C2022/000373;2.11.2022;1457;23.08.2023;Mahreç İşareti;Yemekler ve çorbalar;Karaman;Karaman İl Kültür ve Turizm Müdürlüğü;Tescilli
Karaman Şebit Pilavı;C2022/000365;1.11.2022;1464;7.09.2023;Mahreç İşareti;Yemekler ve çorbalar;Karaman;Karaman İl Kültür ve Turizm Müdürlüğü;Tescilli
Karamanlı Cevizi;C2018/116;21.05.2018;527;28.08.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur;Karamanlı Belediyesi;Tescilli
Karamanlı Kişnişi;C2018/117;21.05.2018;548;28.09.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur;Karamanlı Belediyesi;Tescilli
Karamanlı Rezenesi;C2018/118;21.05.2018;640;4.01.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Burdur;Karamanlı Belediyesi;Tescilli
Karamürsel Samanlı Zeytini;C2021/023;21.01.2021;1622;5.08.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kocaeli;Karamürsel İlçe Tarım ve Orman Müdürlüğü;Tescilli
Karamürsel Sepeti;C2006/036;6.11.2006;143;7.03.2011;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kocaeli;Karamürsel Belediyesi;Tescilli
Karamürsel Simit Dolması;C2022/000289;7.09.2022;1407;10.07.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kocaeli;Karamürsel Belediyesi;Tescilli
Karapürçek Cennet Hurması Pekmezi;C2021/000198;20.04.2021;1354;8.05.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya;Karapürçek Kaymakamlığı;Tescilli
Karapınar Kavurgası;C2022/000472;28.12.2022;1695;29.01.2025;Mahreç İşareti;Diğer ürünler;Konya;Karapınar Ticaret ve Sanayi Odası;Tescilli
